Year,Authority_EN,Authority_AR,value_gwh
2008.0,Sharjah Electricity & Water Authority (SEWA),هيئة مياه وكهرباء الشارقة ,1523.0
2008.0,Federal Electricity & Water Authority (FEWA) ,الهيئة الاتحادية للكهرباء والماء ,4517.0
2009.0,Sharjah Electricity & Water Authority (SEWA),هيئة مياه وكهرباء الشارقة ,2493.0
2009.0,Federal Electricity & Water Authority (FEWA) ,الهيئة الاتحادية للكهرباء والماء ,5557.0
2010.0,Sharjah Electricity & Water Authority (SEWA),هيئة مياه وكهرباء الشارقة ,3384.0
2010.0,Federal Electricity & Water Authority (FEWA) ,الهيئة الاتحادية للكهرباء والماء ,6061.0
2011.0,Sharjah Electricity & Water Authority (SEWA),هيئة مياه وكهرباء الشارقة ,5020.0
2011.0,Federal Electricity & Water Authority (FEWA) ,الهيئة الاتحادية للكهرباء والماء ,7208.0
2012.0,Sharjah Electricity & Water Authority (SEWA),هيئة مياه وكهرباء الشارقة ,5501.0
2012.0,Federal Electricity & Water Authority (FEWA) ,الهيئة الاتحادية للكهرباء والماء ,8163.0
2013.0,Sharjah Electricity & Water Authority (SEWA),هيئة مياه وكهرباء الشارقة ,5644.0
2013.0,Federal Electricity & Water Authority (FEWA) ,الهيئة الاتحادية للكهرباء والماء ,9025.0
2014.0,Sharjah Electricity & Water Authority (SEWA),هيئة مياه وكهرباء الشارقة ,5542.0
2014.0,Federal Electricity & Water Authority (FEWA) ,الهيئة الاتحادية للكهرباء والماء ,11080.0
2015.0,Sharjah Electricity & Water Authority (SEWA),هيئة مياه وكهرباء الشارقة ,6852.0
2015.0,Federal Electricity & Water Authority (FEWA) ,الهيئة الاتحادية للكهرباء والماء ,12587.0
2016.0,Sharjah Electricity & Water Authority (SEWA),هيئة مياه وكهرباء الشارقة ,6719.0
2016.0,Federal Electricity & Water Authority (FEWA) ,الهيئة الاتحادية للكهرباء والماء ,13236.0
