Indicator_EN,Variable_EN-MovementType,Unit_EN,Geography_EN,TemporalRef-Year_EN,Value
AircraftsMovement,Arrivals,Number,AbuDhabi,2014,"69,514"
AircraftsMovement,Arrivals,Number,Dubai,2014,"190,208"
AircraftsMovement,Arrivals,Number,Sharjah,2014,"34,940"
AircraftsMovement,Arrivals,Number,Rasal-Khaimah,2014,"1,328"
AircraftsMovement,Arrivals,Number,Fujairah,2014,634
AircraftsMovement,Departures,Number,AbuDhabi,2014,"69,522"
AircraftsMovement,Departures,Number,Dubai,2014,"190,195"
AircraftsMovement,Departures,Number,Sharjah,2014,"34,981"
AircraftsMovement,Departures,Number,Rasal-Khaimah,2014,"1,308"
AircraftsMovement,Departures,Number,Fujairah,2014,605
AircraftsMovement,Arrivals,Number,AbuDhabi,2015,"79,145"
AircraftsMovement,Arrivals,Number,Dubai,2015,"213,210"
AircraftsMovement,Arrivals,Number,Sharjah,2015,"35,517"
AircraftsMovement,Arrivals,Number,Rasal-Khaimah,2015,"2,260"
AircraftsMovement,Arrivals,Number,Fujairah,2015,526
AircraftsMovement,Departures,Number,AbuDhabi,2015,"79,091"
AircraftsMovement,Departures,Number,Dubai,2015,"213,237"
AircraftsMovement,Departures,Number,Sharjah,2015,"35,598"
AircraftsMovement,Departures,Number,Rasal-Khaimah,2015,"2,239"
AircraftsMovement,Departures,Number,Fujairah,2015,389
AircraftsMovement,Arrivals,Number,AbuDhabi,2016,"80,694"
AircraftsMovement,Arrivals,Number,Dubai,2016,"220,431"
AircraftsMovement,Arrivals,Number,Sharjah,2016,"38,013"
AircraftsMovement,Arrivals,Number,Rasal-Khaimah,2016,"2,855"
AircraftsMovement,Arrivals,Number,Fujairah,2016,783
AircraftsMovement,Departures,Number,AbuDhabi,2016,"80,438"
AircraftsMovement,Departures,Number,Dubai,2016,"220,632"
AircraftsMovement,Departures,Number,Sharjah,2016,"38,126"
AircraftsMovement,Departures,Number,Rasal-Khaimah,2016,"2,841"
AircraftsMovement,Departures,Number,Fujairah,2016,591
AircraftsMovement,Arrivals,Number,AbuDhabi,2017,"74,418"
AircraftsMovement,Arrivals,Number,Dubai,2017,"217,249"
AircraftsMovement,Arrivals,Number,Sharjah,2017,"39,053"
AircraftsMovement,Arrivals,Number,Rasal-Khaimah,2017,"2,588"
AircraftsMovement,Arrivals,Number,Fujairah,2017,577
AircraftsMovement,Departures,Number,AbuDhabi,2017,"74,182"
AircraftsMovement,Departures,Number,Dubai,2017,"217,350"
AircraftsMovement,Departures,Number,Sharjah,2017,"39,199"
AircraftsMovement,Departures,Number,Rasal-Khaimah,2017,"2,538"
AircraftsMovement,Departures,Number,Fujairah,2017,366
AircraftsMovement,Total,Number,otherLocalAirports,2014,"74,505"
AircraftsMovement,Total,Number,UAE,2014,"667,740"
AircraftsMovement,Total,Number,otherLocalAirports,2015,"78,883"
AircraftsMovement,Total,Number,UAE,2015,"740,095"
AircraftsMovement,Total,Number,otherLocalAirports,2016,"69,733"
AircraftsMovement,Total,Number,UAE,2016,"755,137"
AircraftsMovement,Total,Number,otherLocalAirports,2017,"63,938"
AircraftsMovement,Total,Number,UAE,2017,"731,458"
AircraftsMovement,Arrivals,Number,AbuDhabi,2018,"66,022"
AircraftsMovement,Arrivals,Number,Dubai,2018,"216,288"
AircraftsMovement,Arrivals,Number,Sharjah,2018,"40,794"
AircraftsMovement,Arrivals,Number,Rasal-Khaimah,2018,"1,810"
AircraftsMovement,Arrivals,Number,Fujairah,2018,390
AircraftsMovement,Arrivals,Number,TotalArrivals,2018,"325,304"
AircraftsMovement,Departures,Number,AbuDhabi,2018,"65,957"
AircraftsMovement,Departures,Number,Dubai,2018,"216,355"
AircraftsMovement,Departures,Number,Sharjah,2018,"40,817"
AircraftsMovement,Departures,Number,Rasal-Khaimah,2018,"1,758"
AircraftsMovement,Departures,Number,Fujairah,2018,191
AircraftsMovement,Departures,Number,TotalDepartures,2018,"325,078"
AircraftsMovement,Total,Number,OtherLocalAirports,2018,"42,924"
